symbol,as_of_date,cik,company_name,status,revenue_growth_yoy,net_income_positive,operating_cash_flow_positive,debt_to_equity,current_ratio,latest_filing_date,recent_8k_count_90d,failure_reasons,data_warnings
SPY,2026-06-12,0000884394,SPDR S&P 500 ETF TRUST,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
QQQ,2026-06-12,0001067839,"INVESCO QQQ TRUST, SERIES 1",review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
DIA,2026-06-12,0001041130,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
IWM,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
GLD,2026-06-12,0001222333,SPDR GOLD TRUST,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
TLT,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
IEF,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
SHY,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLK,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLV,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLP,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLU,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLF,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLE,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLI,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLY,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLC,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLRE,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
XLB,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
VNQ,2026-06-12,,,review,,,,,,,,sec_cik_not_found,
AAPL,2026-06-12,0000320193,Apple Inc.,pass,-0.0773420619,true,true,2.4846325042,1.0703574691,2026-05-29,2,,
MSFT,2026-06-12,0000789019,MICROSOFT CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
NVDA,2026-06-12,0001045810,NVIDIA CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
